Date, Run, Source, LSR1, LSR2, LSR3, LSR4, UTC, DUR, USE, MODE, SKY, T1-FIR CRMS, EL, AZ, Hz, TEL, NSB
20130413,67977, Mrk421,67993,67993,67993,67993, 03:02,30,30, 0.5N, A, 0.3 (C),67,65,383, 2/1234, 6.1 (l)
20130413,67978, Mrk421,67993,67993,67993,67993, 03:33,30,14, 0.5S, A, 2.1 (D),74,63,345, 2/1234, 5.4 (l)
20130413,67986, Mrk421,67993,67993,67993,67993, 07:01,30,30, 0.5N, A, 0.1 (A),62,295,382, 2/1234, 4.9 (d)
20130413,67987, Mrk421,67993,67993,67993,67993, 07:32,30,30, 0.5S, A, 0.1 (A),56,293,372, 2/1234, 5.0 (d)
20130414,67998, Mrk421,68008,68008,68008,68008, 03:03,30,30, 0.5N, A, 0.1 (A),68,64,383, 2/1234, 6.5 (m)
20130414,67999, Mrk421,68008,68008,68008,68008, 03:34,30,30, 0.5S, A, 0.3 (B),74,62,381, 2/1234, 5.8 (l)
20130414,68004, Mrk421,68008,68008,68008,68008, 06:09,30,30, 0.5E, A, 0.1 (A),72,298,389, 2/1234, 4.9 (d)
20130414,68005, Mrk421,68008,68008,68008,68008, 06:40,30,30, 0.5W, A, 0.1 (A),65,294,379, 2/1234, 5.0 (d)
20130414,68006, Mrk421,68008,68008,68008,68008, 07:11,30,30, 0.5N, A, 0.1 (A),59,294,372, 2/1234, 4.8 (d)
20130415,68019, Mrk421,68034,68034,68034,68034, 03:09,30,30, 0.5S, A, 0.1 (A),70,66,406, 2/1234, 8.0 (m)
20130415,68026, Mrk421,68034,68034,68034,68034, 06:21,30,30, 0.5W, A, 0.1 (A),68,295,415, 2/1234, 5.0 (d)
20130415,68027, Mrk421,68034,68034,68034,68034, 06:52,8,8, 0.5N, A, 0.1 (A),64,295,420, 2/1234, 5.0 (d)
20130415,68028, Mrk421,68034,68034,68034,68034, 07:33,30,30, 0.5S, A, 0.1 (A),54,293,408, 2/1234, 5.0 (d)
20130416,68039, Mrk421,68048,68048,68048,68048, 03:12,30,30, 0.5W, A, 0.2 (B),72,63,274, 2/1234, 11.5 (h)
20130416,68044, Mrk421,68048,68048,68048,68048, 06:12,30,30, 0.5S, A, 0.1 (A),69,295,399, 2/1234,6.8
20130416,68045, Mrk421,68048,68048,68048,68048, 06:43,30,30, 0.5E, A, 0.3 (C),64,294,400, 2/1234, 5.9 (d)
20130416,68046, Mrk421,68048,68048,68048,68048, 07:14,15,15, 0.5W, A, 0.3 (B),58,293,396, 2/1234, 5.7 (d)
20130502,68247, Mrk421,68248,68248,68248,68248, 05:14,20,20, 0.5E, A, 0.0 (A),70,296,388, 2/1234, 5.1 (d)
20130508,68380, Mrk421,68391,68391,68391,68391, 05:40,20,20, 0.5W, B, 0.1 (A),59,293,390, 2/1234, 5.0 (d)
20140126,71815, Mrk421,71798,71798,71798,71798, 08:27,30,30, 0.5N, A, 0.1 (A),71,62,421, 2/1234, 5.1 (d)
20140327,72681, Mrk421,72687,72687,72687,72687, 04:39,20,20, 0.5E, B, 5.2 (D),72,64,349, 2/1234, 5.9 (d)
20140428,73182, Mrk421,73185,73185,73185,73185, 06:03,21,21, 0.5S, B, 0.1 (A),63,293,391, 2/1234, 6.8 (d)
20140429,73200, Mrk421,73207,73207,73207,73207, 05:22,30,30, 0.5E, A, 0.0 (A),70,296,400, 2/1234, 5.9 (d)
20140429,73201, Mrk421,73207,73207,73207,73207, 05:53,30,30, 0.5W, A, 0.1 (A),63,294,391, 2/1234, 6.3 (d)
20140429,73202, Mrk421,73207,73207,73207,73207, 06:24,30,30, 0.5N, A, 0.1 (A),57,294,377, 2/1234, 6.6 (d)
20140429,73203, Mrk421,73207,73207,73207,73207, 06:55,30,30, 0.5S, A, 0.1 (A),51,293,358, 2/1234, 6.9 (d)
20140501,73240, Mrk421,73245,73245,73245,73245, 04:58,30,13, 0.5E, A, 0.6 (D),73,299,218, 2/1234, 5.1 (d)
20140501,73241, Mrk421,73245,73245,73245,73245, 05:29,30,30, 0.5W, A, 0.2 (B),66,294,194, 2/1234, 4.9 (d)
20140501,73242, Mrk421,73245,73245,73245,73245, 06:00,10,10, 0.5N, A, 0.2 (B),62,295,178, 2/1234, 4.9 (d)
20140503,73288, Mrk421,73293,73293,73293,73293, 05:05,30,30, 0.5S, A, 0.1 (A),70,295,361, 2/1234, 5.8 (l)
20140503,73289, Mrk421,73293,73293,73293,73293, 05:35,30,30, 0.5E, A, 0.1 (A),64,294,356, 2/1234, 5.6 (d)
20150119,76022, Mrk421,76024,76024,76024,76024, 11:41,30,30, 0.5N, B, 0.1 (A),72,300,452, 2/1234, 4.3 (d)
20150121,76075, Mrk421,76063,76063,76063,76063, 11:30,30,30, 0.5S, B-, 0.1 (A),73,297,466, 2/1234, 4.1 (d)
20150124,76145, Mrk421,76146,76146,76146,76146, 11:49,30,30, 0.5W, B+, 0.1 (A),66,295,463, 2/1234, 4.7 (d)
20150315,76869, Mrk421,76870,76870,76870,76870, 04:44,30,30, 0.5N, B, 0.5 (D),65,66,372, 2/1234, 5.8 (d)
20150321,76947, Mrk421,76958,76958,76958,76958, 04:09,18,14, 0.5E, B, 0.9 (D),61,67,317, 2/1234, 6.2 (d)
